pageName,diffURL,editor,lineDelta,comment
"Gorilla Glass","http://en.wikipedia.org/w/index.php?diff=630002572&oldid=629824656","ks1joh6e",56,""
"2014 ATP World Tour","http://en.wikipedia.org/w/index.php?diff=630002573&oldid=629996036","9x3wmjt0",-29,"/* October */"
"Hell in a Cell (2014)","http://en.wikipedia.org/w/index.php?diff=630002574&oldid=630002517","172.26.210.235",8,"/* Matches */"
"1961 in Turkey","http://en.wikipedia.org/w/index.php?diff=630002575&oldid=627438509","211wq511",40,"See also section"
"Ali Quli Mirza","http://en.wikipedia.org/w/index.php?diff=630002576&oldid=630002409","172.17.190.191",84,""
"Gary Holmgren","http://en.wikipedia.org/w/index.php?diff=630002578&oldid=579100108","e0oqvmt7",101,""
"Devon","http://en.wikipedia.org/w/index.php?diff=630002579&oldid=627740557","172.24.14.75",79,"Addition of Ben Howard to the list of Devonians"
"Muhammad Ali Jinnah","http://en.wikipedia.org/w/index.php?diff=630002580&oldid=630002328","xihirc3j",53,""
"George H. Hermann","http://en.wikipedia.org/w/index.php?diff=630002582&oldid=630002466","23q4bs9v",-20,""
"English translations of Homer","http://en.wikipedia.org/w/index.php?diff=630002584&oldid=630002365","2i8orpoj",115,"/* Late middle 20th century (c. 1950 – c. 1975) */"
"CDGVAL","http://en.wikipedia.org/w/index.php?diff=630002585&oldid=624020919","172.22.91.130",31,""
"Mario Parial","http://en.wikipedia.org/w/index.php?diff=630002587&oldid=613776382","lztz28fq",-22,"rv scribble from the unhelpful edit at 00:08, 14 October 2012"
"Sibche","http://en.wikipedia.org/w/index.php?diff=630002588&oldid=630002452","weqgzbw1",2,""
"Akaike information criterion","http://en.wikipedia.org/w/index.php?diff=630002593&oldid=629564922","3mjc6bjq",-31,"revert template changes; TheSeven broken harv"
"Chiang Been-huang","http://en.wikipedia.org/w/index.php?diff=630002594&oldid=606278753","snilcojg",461,"add his current position"
"2014–15 Cyclo-cross Superprestige","http://en.wikipedia.org/w/index.php?diff=630002595&oldid=629701539","jm4poyuu",-12,"no longer new"
"UFC Fight Night: Machida vs. Dollaway","http://en.wikipedia.org/w/index.php?diff=630002597&oldid=629972060","172.18.17.131",59,"/* Announced bouts */"
"Rajiv Chilaka","http://en.wikipedia.org/w/index.php?diff=630002611&oldid=629144763","172.29.11.32",153,"/* Related Series */"
"Hell in a Cell (2014)","http://en.wikipedia.org/w/index.php?diff=630002621&oldid=630002574","172.19.105.220",-13,"/* Background */"
"Farm House (film)","http://en.wikipedia.org/w/index.php?diff=630002622&oldid=628472464","2xglrci5",19,"Removing misspelling of film's title."
"Rich Little","http://en.wikipedia.org/w/index.php?diff=630002626&oldid=623602186","1q16ytwi",32,""
"Dublin to Detroit","http://en.wikipedia.org/w/index.php?diff=630002627&oldid=630001224","6uopef1i",-1,""
"Ebola virus epidemic in West Africa","http://en.wikipedia.org/w/index.php?diff=630002629&oldid=630002187","a7viwnge",814,"/* United States */added relevant ref - [[President Obama]] names [[Ron Klain]] ""[[Ebola Czar]]"" - per [[New York Times]], 17 October 2014."
"Forever Evil","http://en.wikipedia.org/w/index.php?diff=630002631&oldid=630002532","172.25.163.36",173,""
"List of university hospitals","http://en.wikipedia.org/w/index.php?diff=630002632&oldid=629603720","172.31.157.226",1331,"/* United States */"
"Waist","http://en.wikipedia.org/w/index.php?diff=630002634&oldid=630002430","vh2q0ir1",7,"/* Fashion */"
"Nuestra Belleza México 2014","http://en.wikipedia.org/w/index.php?diff=630002635&oldid=630002421","172.29.166.55",0,"/* Placements Nuestra Belleza Mundo México */"
"Revolving rivers","http://en.wikipedia.org/w/index.php?diff=630002637&oldid=629983390","ndhcfrpt",-16,"various fixes"
"Anti-Masonry","http://en.wikipedia.org/w/index.php?diff=630002639&oldid=630002431","172.19.125.42",-1,"/* Persecution by Communists */"
"West Indian cricket team in India in 2014–15","http://en.wikipedia.org/w/index.php?diff=630002638&oldid=629981030","c03764se",117,"/* 4th ODI */"
"Potamogeton epihydrus","http://en.wikipedia.org/w/index.php?diff=630002640&oldid=628502210","tdjgn88d",239,"added BSBI English name with ref"
"South Australian state election, 1989","http://en.wikipedia.org/w/index.php?diff=630002642&oldid=630001567","wjpvrfbv",286,"/* Post-election Pendulum */"
"Ammakkorumma","http://en.wikipedia.org/w/index.php?diff=630002643&oldid=630002474","11nc69gv",-79,"/* Cast */"
"James F. Amos","http://en.wikipedia.org/w/index.php?diff=630002646&oldid=629989225","172.31.190.211",-8,"/* Resume controversy */ Fixed grammar, syntax, and punctuation."
"Iris germanica","http://en.wikipedia.org/w/index.php?diff=630002649&oldid=611220600","6690sydz",36,"added synonym"
"Irish Military Archives","http://en.wikipedia.org/w/index.php?diff=630002653&oldid=630000830","289o3opt",71,"Embedded links to external websites should not appear in body of article"
"Tails (operating system)","http://en.wikipedia.org/w/index.php?diff=630002655&oldid=629989979","ovvhxv2y",-4,"updated infobox"
"Andreas Klein","http://en.wikipedia.org/w/index.php?diff=630002656&oldid=630002560","erac8pbg",64,"Added {{[[Template:fansite|fansite]]}} and {{[[Template:third-party|third-party]]}} tags to article ([[WP:TW|TW]])"
"DeAndre Daniels","http://en.wikipedia.org/w/index.php?diff=630002660&oldid=629043370","wn6srluk",452,"/* 2014–15 season */ debut"
"Thursby (disambiguation)","http://en.wikipedia.org/w/index.php?diff=630002661&oldid=467964002","g97cxn28",113,"+-entry; demoted partial matches"
"Cold Lunch","http://en.wikipedia.org/w/index.php?diff=630002662&oldid=568235896","4vj4yllg",-2,""
"Yip Sang","http://en.wikipedia.org/w/index.php?diff=630002666&oldid=630002569","172.20.123.216",14,"/* Children */"
"Top Five","http://en.wikipedia.org/w/index.php?diff=630002667&oldid=630002506","sbaqul9h",87,""
"Belawadi Mallamma","http://en.wikipedia.org/w/index.php?diff=630002669&oldid=619058732","rjrmejba",-34,"Added links"
"Pro Evolution Soccer 2015","http://en.wikipedia.org/w/index.php?diff=630002670&oldid=629997632","172.16.188.217",-60,"/* National Leagues */"
"Ciudad Perdida","http://en.wikipedia.org/w/index.php?diff=630002675&oldid=630002484","172.16.182.46",-7,"/* External links */"
"Digestion","http://en.wikipedia.org/w/index.php?diff=630002674&oldid=630001075","f695zek6",56,"/* Human digestion process */editing spellings"
"George H. Hermann","http://en.wikipedia.org/w/index.php?diff=630002676&oldid=630002582","23q4bs9v",2,""
"Black Widow (song)","http://en.wikipedia.org/w/index.php?diff=630002677&oldid=629992109","1wzh29hq",0,"/* Weekly charts */ New peak"
"Society for the Promotion of New Music","http://en.wikipedia.org/w/index.php?diff=630002678&oldid=629447481","cwtkoczc",221,"added date of change CPNM to SPNM"
"Moradabad","http://en.wikipedia.org/w/index.php?diff=630002681&oldid=629980028","fhxijm1q",123,"Source still doesn't explain what an MoU is. That was the point of the clarify template."
"Chiu Wen-ta","http://en.wikipedia.org/w/index.php?diff=630002682&oldid=628104413","snilcojg",25,"add his successor"
"Chilean rose tarantula","http://en.wikipedia.org/w/index.php?diff=630002685&oldid=629996968","x1fzjx5l",510,"rv good faith edit, this is reliably sourced and is one of the known risks when handling tarantulas"
"Ysgyryd Fawr","http://en.wikipedia.org/w/index.php?diff=630002687&oldid=629862904","172.29.163.34",260,"/* History */"
"Jean Chrétien","http://en.wikipedia.org/w/index.php?diff=630002688&oldid=627786042","xww5zt9m",-7,"/* Early life */ m"
"Westchester County, New York","http://en.wikipedia.org/w/index.php?diff=630002689&oldid=629311601","172.30.253.43",1,"/* History */"
"Farm House (film)","http://en.wikipedia.org/w/index.php?diff=630002690&oldid=630002622","2xglrci5",1,"/* Cast */"
"Nuestra Belleza México 2014","http://en.wikipedia.org/w/index.php?diff=630002691&oldid=630002635","172.18.196.235",0,"/* Placements Nuestra Belleza Mundo México */"
"Jazzy B","http://en.wikipedia.org/w/index.php?diff=630002692&oldid=629721072","172.20.133.18",126,"/* Soundtracks */"
"Teenage Mutant Ninja Turtles (2012 TV series) (season 3)","http://en.wikipedia.org/w/index.php?diff=630002693&oldid=629984659","172.21.135.215",4,""
"Compound bow","http://en.wikipedia.org/w/index.php?diff=630002694&oldid=622879156","172.20.10.56",8,""
"Rich Raddon","http://en.wikipedia.org/w/index.php?diff=630002695&oldid=630002528","28wbzzbv",6,""
"2014 Copa do Brasil knockout stages","http://en.wikipedia.org/w/index.php?diff=630002696&oldid=629837476","172.18.135.204",5,"/* Quarterfinals */"
"Paraguay","http://en.wikipedia.org/w/index.php?diff=630002697&oldid=630002529","172.23.176.78",5,""
"NCFE","http://en.wikipedia.org/w/index.php?diff=630002700&oldid=630002160","ezdic043",-8,"[[WP:AES|←]]Redirected page to [[National Centre for Excellence]]"
"Economy of North Korea","http://en.wikipedia.org/w/index.php?diff=630002701&oldid=630001948","6ichmtqo",10,"/* Agriculture */ Copyedit (minor)"
"1984 Idaho Vandals football team","http://en.wikipedia.org/w/index.php?diff=630002702&oldid=581496235","e0oqvmt7",126,""
"Mahika Sharma","http://en.wikipedia.org/w/index.php?diff=630002704&oldid=630002238","yy1n0ae4",70,""
"Earth-Three","http://en.wikipedia.org/w/index.php?diff=630002705&oldid=624714676","172.23.185.149",174,""
"Anti-Masonry","http://en.wikipedia.org/w/index.php?diff=630002706&oldid=630002639","172.24.170.34",4,"/* Persecution by Communists */"
"Marsupial lion","http://en.wikipedia.org/w/index.php?diff=630002708&oldid=630002551","p56blyhu",1,"/* Classification */"
"Executive Yuan","http://en.wikipedia.org/w/index.php?diff=630002710&oldid=628098218","snilcojg",-5,"/* Ministries */"
"Eleanor (automobile)","http://en.wikipedia.org/w/index.php?diff=630002713&oldid=628415347","172.16.46.210",-148,"Restored original 1971/73 Eleanor picture to article primary photo, to match article primary text."
"2014–15 Granada CF season","http://en.wikipedia.org/w/index.php?diff=630002716&oldid=630002475","xaf8qooa",39,"/* Matches */"
"2014 Kremlin Cup – Women's Doubles","http://en.wikipedia.org/w/index.php?diff=630002717&oldid=629978535","9x3wmjt0",4,"/* Draw */"
"1960 in Turkey","http://en.wikipedia.org/w/index.php?diff=630002718&oldid=629891510","211wq511",40,"See aslo section"
"Muammar Gaddafi","http://en.wikipedia.org/w/index.php?diff=630002719&oldid=629752560","172.21.205.9",30,"/* Early life */"
"Rajiv Chilaka","http://en.wikipedia.org/w/index.php?diff=630002721&oldid=630002611","172.23.22.173",0,"/* Related Series */"
"Treason Act 1351","http://en.wikipedia.org/w/index.php?diff=630002722&oldid=630000429","j0g1h6e9",2,"/* Interpretation */copyedit"
"Consett Iron Company","http://en.wikipedia.org/w/index.php?diff=630002724&oldid=630002007","h0i3dwkf",11,"/* Early history */"
"Umberto Straccia","http://en.wikipedia.org/w/index.php?diff=630002725&oldid=630002423","0rbbhmkc",-3,""
"Democratic Party of Hawaii","http://en.wikipedia.org/w/index.php?diff=630002726&oldid=630000196","6n690bys",116,"STOP REVERSING CHANGES AND DELETE THIS ARTICLE"
"Akaike information criterion","http://en.wikipedia.org/w/index.php?diff=630002728&oldid=630002593","3mjc6bjq",-14,"/* References */ references tag should be empty due to reflist above"
"Eric S. Rosengren","http://en.wikipedia.org/w/index.php?diff=630002733&oldid=568627520","83gk2qli",55,"[[Wikipedia:Authority control]]."
"1964 NBA Finals","http://en.wikipedia.org/w/index.php?diff=630002734&oldid=611864303","qhq30zen",54,""
"Ysgyryd Fawr","http://en.wikipedia.org/w/index.php?diff=630002736&oldid=630002687","172.23.124.171",-1,"/* History */"
"Sesamoiditis","http://en.wikipedia.org/w/index.php?diff=630002738&oldid=629945045","fybr877d",-4,"/* In humans */ ce"
"The Raid: Redemption","http://en.wikipedia.org/w/index.php?diff=630002739&oldid=628044663","172.25.231.87",5,"/* Plot */"
"Nelson (surname)","http://en.wikipedia.org/w/index.php?diff=630002741&oldid=626939641","jfdnu0ef",27,"/* P */ [[Polly Nelson]], lawyer"
"Du Xinwu","http://en.wikipedia.org/w/index.php?diff=630002742&oldid=629994767","wf7y0m0p",114,"+[[Category:1869 births]]; +[[Category:1953 deaths]]; +[[Category:People from Hunan]]; +[[Category:Tongmenghui members]] using [[WP:HC|HotCat]]"
"Anurag Kashyap","http://en.wikipedia.org/w/index.php?diff=630002745&oldid=630002520","wzghm27l",6,""
"Jazzy B","http://en.wikipedia.org/w/index.php?diff=630002746&oldid=630002692","172.21.136.199",-14,"/* Soundtracks */"
"George H. Hermann","http://en.wikipedia.org/w/index.php?diff=630002747&oldid=630002676","23q4bs9v",0,""
"Laila al-Othman","http://en.wikipedia.org/w/index.php?diff=630002751&oldid=629953131","172.23.241.39",6,""
"Reade Baker","http://en.wikipedia.org/w/index.php?diff=630002750&oldid=629804222","u66wx0ow",-145,""
"Lambert Visscher","http://en.wikipedia.org/w/index.php?diff=630002757&oldid=606412845","4vj4yllg",3,""
"The Late Philip J. Fry","http://en.wikipedia.org/w/index.php?diff=630002761&oldid=630002220","0vecaqun",61,"/* Broadcast and reception */"
"Firefly Space Systems","http://en.wikipedia.org/w/index.php?diff=630002765&oldid=630002384","736mb8hf",315,"add full metadata for source that was formerly (prior to my last edit) in the lede"
"Sulfur","http://en.wikipedia.org/w/index.php?diff=630002766&oldid=629889214","635a5hmu",67,"/* Oxides and oxyanions */ trimmed the section added oxoacids and links to other articles - still a lot to do"
"Lautaro Acosta","http://en.wikipedia.org/w/index.php?diff=630002768&oldid=625237214","172.17.21.76",-56,"Undid revision 615177858 by [[Special:Contributions/80.58.250.83|80.58.250.83]] ([[User talk:80.58.250.83|talk]])Overcategorization."
"List of current Home and Away characters","http://en.wikipedia.org/w/index.php?diff=630002769&oldid=629989152","vxvhcnir",0,"However, they are still both listed in the guest section of the credits."
"Ananda (album)","http://en.wikipedia.org/w/index.php?diff=630002773&oldid=629998466","fdzv6kca",58,"/* Album information */ Added links to writer names and songs."
"Hell in a Cell (2014)","http://en.wikipedia.org/w/index.php?diff=630002775&oldid=630002740","mn5yxuzk",-371,"Reverted to revision 629961823 by [[Special:Contributions/Donnowin1|Donnowin1]] ([[User talk:Donnowin1|talk]]): Last known good."
"Lititz, Pennsylvania","http://en.wikipedia.org/w/index.php?diff=630002776&oldid=624146519","172.22.73.205",85,"/* History */"
"Atlético de Kolkata","http://en.wikipedia.org/w/index.php?diff=630002779&oldid=629994537","172.16.170.174",25,"/* Indian Super League 2014 */"
"NCFE","http://en.wikipedia.org/w/index.php?diff=630002782&oldid=630002700","ezdic043",0,"[[WP:AES|←]]Redirected page to [[National Centre For Excellence]]"
"St. John Bosco High School","http://en.wikipedia.org/w/index.php?diff=630002784&oldid=629732485","b8b5d1xs",12,""
"Nuestra Belleza México 2014","http://en.wikipedia.org/w/index.php?diff=630002786&oldid=630002691","172.28.134.242",7,"/* National Costume Competition */"
"2013 in film","http://en.wikipedia.org/w/index.php?diff=630002787&oldid=630001091","kdpapnnz",117,"/* Notable deaths */"
"We Got Married","http://en.wikipedia.org/w/index.php?diff=630002788&oldid=629191314","172.26.59.156",-27,"[[WP:NCKO]]"
"List of hospitals in Liberia","http://en.wikipedia.org/w/index.php?diff=630002789&oldid=626191626","172.17.205.123",44,"/* Monrovia */"
"Jazzy B","http://en.wikipedia.org/w/index.php?diff=630002790&oldid=630002746","172.30.116.88",19,"/* Soundtracks */"
"Apalon","http://en.wikipedia.org/w/index.php?diff=630002795&oldid=630001060","le498z4x",0,"redirecting to the original Apalon village"
"War of the Austrian Succession","http://en.wikipedia.org/w/index.php?diff=630002796&oldid=629960941","kwzmz3rs",-62,""
"Bangalore Days","http://en.wikipedia.org/w/index.php?diff=630002797&oldid=630001913","ydsa4gbq",11,""
"List of political families in the Philippines","http://en.wikipedia.org/w/index.php?diff=630002800&oldid=630002439","39p1svhe",109,""
"A Fine Mess (film)","http://en.wikipedia.org/w/index.php?diff=630002803&oldid=605608671","172.30.170.120",1,""
"Ed Gataveckas","http://en.wikipedia.org/w/index.php?diff=630002804&oldid=610999325","172.16.88.71",12,""
"James F. Amos","http://en.wikipedia.org/w/index.php?diff=630002805&oldid=630002646","172.25.79.55",31,"/* Resume controversy */ Fixed grammar, syntax, and punctuation."
"2014 ATP Challenger Tour","http://en.wikipedia.org/w/index.php?diff=630002811&oldid=629973722","0wd5thd6",119,"/* October */"
"Justice League","http://en.wikipedia.org/w/index.php?diff=630002812&oldid=629305559","172.29.137.108",134,""
"Jazzy B","http://en.wikipedia.org/w/index.php?diff=630002816&oldid=630002790","172.25.186.222",-5,"/* Soundtracks */"
"Josh Vela","http://en.wikipedia.org/w/index.php?diff=630002817&oldid=629999923","a7nss32i",-1,""
"Butterfly effect","http://en.wikipedia.org/w/index.php?diff=630002819&oldid=630002372","p3u8aic8",67,"/* top */ clarification"
"Adam Yauch","http://en.wikipedia.org/w/index.php?diff=630002821&oldid=624082537","172.22.111.164",-4,""
"Zombie Apocalypse (Death Metal Band)","http://en.wikipedia.org/w/index.php?diff=630002822&oldid=630002383","b1xgv071",2,""
"Tele2 Arena","http://en.wikipedia.org/w/index.php?diff=630002823&oldid=629978278","84we2cgg",1490,"Undid revision 629978278 by [[Special:Contributions/4th Generation|4th Generation]] ([[User talk:4th Generation|talk]])"
"Grazia (India)","http://en.wikipedia.org/w/index.php?diff=630002825&oldid=630002480","0iime718",-82,"paraphrase content copied from http://www.mondadori.com/Media/Press-Releases/2008/MONDADORI-ARRIVES-IN-INDIA-FROM-5-APRIL-THE-NINTH-INTERNATIONAL-EDITION-OF-GRAZIA"
"Greg Bahnsen","http://en.wikipedia.org/w/index.php?diff=630002826&oldid=628730326","x130tmzk",-35,"[[Help:Cat-a-lot|Cat-a-lot]]: Removing from [[Category:Christian philosophers]]"
"Emil Brunner","http://en.wikipedia.org/w/index.php?diff=630002827&oldid=622697422","x130tmzk",13,"[[Help:Cat-a-lot|Cat-a-lot]]: Moving from [[Category:Christian philosophers]] to [[Category:Calvinist and Reformed philosophers]]"
"Gordon Clark","http://en.wikipedia.org/w/index.php?diff=630002828&oldid=619106364","x130tmzk",-35,"[[Help:Cat-a-lot|Cat-a-lot]]: Removing from [[Category:Christian philosophers]]"
"Hugo Grotius","http://en.wikipedia.org/w/index.php?diff=630002830&oldid=630002272","x130tmzk",-35,"[[Help:Cat-a-lot|Cat-a-lot]]: Removing from [[Category:Christian philosophers]]"
"Gary North (economist)","http://en.wikipedia.org/w/index.php?diff=630002831&oldid=627504938","x130tmzk",13,"[[Help:Cat-a-lot|Cat-a-lot]]: Moving from [[Category:Christian philosophers]] to [[Category:Calvinist and Reformed philosophers]]"
"List of French Open champions","http://en.wikipedia.org/w/index.php?diff=630002833&oldid=626674041","s9ucaawx",-172,"/* Juniors */"
"Farm House (film)","http://en.wikipedia.org/w/index.php?diff=630002834&oldid=630002690","2xglrci5",-1,"/* Plot */"
"Executive Yuan","http://en.wikipedia.org/w/index.php?diff=630002835&oldid=630002710","snilcojg",107,"/* Ministers without portfolio */"
"King's Cross Central","http://en.wikipedia.org/w/index.php?diff=630002837&oldid=625859972","172.16.86.217",3,""
"XAMPP","http://en.wikipedia.org/w/index.php?diff=630002839&oldid=628359738","172.30.210.43",-167,"removed dead link"
"Wes Studi","http://en.wikipedia.org/w/index.php?diff=630002840&oldid=629361231","172.18.152.70",25,"/* Filmography */"
"Jazzy B","http://en.wikipedia.org/w/index.php?diff=630002843&oldid=630002816","172.28.5.159",6,"/* Soundtracks */"
"Tarzan Triumphant","http://en.wikipedia.org/w/index.php?diff=630002844&oldid=618306622","172.21.137.177",-2,"/* Comic adaptations */"
"David Penhaligon","http://en.wikipedia.org/w/index.php?diff=630002847&oldid=626992586","r2mq2jlp",-104,"Nonsense - David Penhaligon was 5 years older than Roger Taylor. He left Truro School in the summer of 1961 and Roger Taylor transferred from the Cathedral School in September of that year."
"Effects of time zones on North American broadcasting","http://en.wikipedia.org/w/index.php?diff=630002848&oldid=629912250","dgm2te4e",-285,"/* Cable and satellite television */"
"NCFE","http://en.wikipedia.org/w/index.php?diff=630002850&oldid=630002782","ezdic043",-16,""
"William I of Normandy","http://en.wikipedia.org/w/index.php?diff=630002853&oldid=629807449","172.26.54.109",1,"Add missing punctuation"
"New Generation poets (1994)","http://en.wikipedia.org/w/index.php?diff=630002854&oldid=606301858","4vj4yllg",-2,""
"2014 Kremlin Cup – Women's Singles","http://en.wikipedia.org/w/index.php?diff=630002855&oldid=630002019","9x3wmjt0",79,"/* Draw */"
"St. John Bosco High School","http://en.wikipedia.org/w/index.php?diff=630002857&oldid=630002784","b8b5d1xs",-47,""
"Lex Luger","http://en.wikipedia.org/w/index.php?diff=630002861&oldid=626969551","172.21.5.227",211,"/* The All-American (1993–1994) */"
"Reza Beyk Imanverdi","http://en.wikipedia.org/w/index.php?diff=630002864&oldid=628999629","e5dc3g7b",23,""
"Latoya (given name)","http://en.wikipedia.org/w/index.php?diff=630002865&oldid=606681802","fybr877d",41,"/* People with the given name Latoya */ add"
"List of Italian football champions","http://en.wikipedia.org/w/index.php?diff=630002866&oldid=629084648","172.22.171.55",-54,"/* Serie A */"
"Amit Kumar","http://en.wikipedia.org/w/index.php?diff=630002867&oldid=630002543","172.25.205.251",26,""
"Economy of North Korea","http://en.wikipedia.org/w/index.php?diff=630002870&oldid=630002701","6ichmtqo",1,"/* Mining */ Copyedit (minor)"
"Toronto municipal election, 2014","http://en.wikipedia.org/w/index.php?diff=630002872&oldid=629928332","172.20.210.206",38,"/* Ward 10 - York Centre */"
"Donovan Morgan (American football)","http://en.wikipedia.org/w/index.php?diff=630002873&oldid=627021046","172.30.11.33",17,""
"Hong Kong Rangers FC","http://en.wikipedia.org/w/index.php?diff=630002875&oldid=627547858","2k9bn5ze",-9,"/* History */I made it interesting"
"Rafael Sóbis","http://en.wikipedia.org/w/index.php?diff=630002876&oldid=625959059","172.16.1.166",30,"/* Honours */"
"Sand Creek massacre","http://en.wikipedia.org/w/index.php?diff=630002878&oldid=629946416","wp641giy",9,"Undid revision 629892659 by [[Special:Contributions/2600:1006:B11D:C285:B945:D20A:9451:85D|2600:1006:B11D:C285:B945:D20A:9451:85D]] ([[User talk:2600:1006:B11D:C285:B945:D20A:9451:85D|talk]])"
"Fan Club (TV series)","http://en.wikipedia.org/w/index.php?diff=630002879&oldid=562661056","cqxu8o5w",24,"Help needed: [[Michel Bergeron]]"
"New Century Club (Philadelphia, Pennsylvania)","http://en.wikipedia.org/w/index.php?diff=630002881&oldid=629931433","k3q9o5az",388,"/* Purpose */ Expanding article"
"Gonzalo Lira","http://en.wikipedia.org/w/index.php?diff=630002882&oldid=630000975","cpvh1y6u",-2,"/* Career */ ce"
"List of cultural icons of Russia","http://en.wikipedia.org/w/index.php?diff=630002885&oldid=628564566","172.23.191.80",5994,""
"NorthEast United FC","http://en.wikipedia.org/w/index.php?diff=630002886&oldid=630002312","s7zest5x",26,"/* Ownership */ Fixed typo"
"2014 African Women's Championship","http://en.wikipedia.org/w/index.php?diff=630002888&oldid=630002641","o12vxqbz",-18,"/* Knockout stage */ group A have finished"
"Ali Quli Mirza","http://en.wikipedia.org/w/index.php?diff=630002890&oldid=630002576","172.20.132.36",146,""
"Nancy (Oliver Twist)","http://en.wikipedia.org/w/index.php?diff=630002891&oldid=630002081","u1hle4xa",328,"/* Description */"
"Paranormal Activity: The Marked Ones","http://en.wikipedia.org/w/index.php?diff=630002892&oldid=629796136","172.16.54.86",-23,"/* Plot */"
"Sukshinder Shinda","http://en.wikipedia.org/w/index.php?diff=630002895&oldid=626989793","172.21.103.86",0,"/* Discography */"
"Ahimsa (1981 film)","http://en.wikipedia.org/w/index.php?diff=630002897&oldid=598063806","11nc69gv",-74,"/* Cast */"
"Bangalore Days","http://en.wikipedia.org/w/index.php?diff=630002898&oldid=630002797","ydsa4gbq",0,"/* Plot */"
"1932 in Turkey","http://en.wikipedia.org/w/index.php?diff=630002899&oldid=629978630","211wq511",47,"/* References */ Templates"
"Dominion (supermarket)","http://en.wikipedia.org/w/index.php?diff=630002901&oldid=630000295","172.30.85.196",23,"/* Stores */"
"United States House of Representatives elections in Colorado, 2014","http://en.wikipedia.org/w/index.php?diff=630002900&oldid=621316729","bzn2ouhc",360,"/* Polling */ Add new poll"
"Galesburg High School","http://en.wikipedia.org/w/index.php?diff=630002902&oldid=619111812","ouvynevx",3,""
"Wes Studi","http://en.wikipedia.org/w/index.php?diff=630002903&oldid=630002840","172.27.239.10",1,"/* Filmography */"
"List of Marvel Disk Wars: The Avengers episodes","http://en.wikipedia.org/w/index.php?diff=630002904&oldid=629941482","172.19.244.220",5,"/* Episode list */"
"Rocky Mountain National Park","http://en.wikipedia.org/w/index.php?diff=630002908&oldid=629969973","jgzsjj23",34,"/* Lord Dunraven and his 'land grab' */ unreffed section"
"The 100 (novel)","http://en.wikipedia.org/w/index.php?diff=630002910&oldid=629995858","172.23.198.45",614,"/* Sequels */ retitled this section to Series and added citations for information on the first book in the series."
"Dream High 2","http://en.wikipedia.org/w/index.php?diff=630002912&oldid=628051406","172.16.66.65",14,""
"Yip Sang","http://en.wikipedia.org/w/index.php?diff=630002915&oldid=630002666","172.20.241.94",30,"/* Children */"
"Laila al-Othman","http://en.wikipedia.org/w/index.php?diff=630002920&oldid=630002751","1x9ekyv4",-35,""
"Beckham (surname)","http://en.wikipedia.org/w/index.php?diff=630002921&oldid=622187282","172.28.175.161",62,"/* People */"
"Hell in a Cell (2014)","http://en.wikipedia.org/w/index.php?diff=630002923&oldid=630002775","172.20.190.222",4,"/* Matches */"
"Rich Little","http://en.wikipedia.org/w/index.php?diff=630002924&oldid=630002626","1q16ytwi",0,""
"Chhatrapati Shivaji International Airport","http://en.wikipedia.org/w/index.php?diff=630002925&oldid=629420774","172.27.95.233",175,""
"Jennifer Gardy","http://en.wikipedia.org/w/index.php?diff=630002926&oldid=629824810","thaemdrv",101,"added image"
"Revolving rivers","http://en.wikipedia.org/w/index.php?diff=630002929&oldid=630002637","ndhcfrpt",-2,"/* History and state of the art */ stray paren"
"George Bellas Greenough","http://en.wikipedia.org/w/index.php?diff=630002931&oldid=627950280","5fypxbea",204,"photo of grave and location added--~~~~"
"Frank Webster","http://en.wikipedia.org/w/index.php?diff=630002932&oldid=629988764","v7d3g9om",134,""
"Socialism in India","http://en.wikipedia.org/w/index.php?diff=630002933&oldid=629433549","172.17.6.237",1,""
"Complex number","http://en.wikipedia.org/w/index.php?diff=630002935&oldid=629964371","1yy3dian",2,"Reverted 1 edit by [[Special:Contributions/197.38.185.50|197.38.185.50]] ([[User talk:197.38.185.50|talk]]): As per [[MOS:MATH#PUNC]]. ([[WP:TW|TW]])"
"Atlético de Kolkata","http://en.wikipedia.org/w/index.php?diff=630002937&oldid=630002779","172.24.69.139",6,""
"Chennaiyin FC","http://en.wikipedia.org/w/index.php?diff=630002941&oldid=630002398","zfgey5fr",35,"/* Competitions */"
"West Indian cricket team in India in 2014–15","http://en.wikipedia.org/w/index.php?diff=630002942&oldid=630002638","c03764se",91,""
"Adam Yauch","http://en.wikipedia.org/w/index.php?diff=630002943&oldid=630002821","172.26.223.195",-6,""
"2014 WTA Tour","http://en.wikipedia.org/w/index.php?diff=630002944&oldid=629999280","9x3wmjt0",-26,"/* October */"
"María Conchita Alonso","http://en.wikipedia.org/w/index.php?diff=630002947&oldid=629882136","172.16.206.135",23,""
"Flag of the United States","http://en.wikipedia.org/w/index.php?diff=630002948&oldid=629734975","172.28.226.98",-3,"/* Display and use */"
"Scorpion (TV series)","http://en.wikipedia.org/w/index.php?diff=630002949&oldid=630002436","ft6lci4t",51,"/* International broadcast */ further edit of cites"
"We Got Married","http://en.wikipedia.org/w/index.php?diff=630002950&oldid=630002788","172.20.52.217",-4,"/* The Hosts */"
"Grant Imahara","http://en.wikipedia.org/w/index.php?diff=630002952&oldid=624859576","az1astps",181,"update references"
"Senna obtusifolia","http://en.wikipedia.org/w/index.php?diff=630002953&oldid=609807867","tdjgn88d",215,"added BSBI English name with ref"
